SAGA,TFIID group	 Gene ID	 Common Name
TFIID-dominated	YDL028C	MPS1
TFIID-dominated	YDL029W	ARP2
TFIID-dominated	YDL030W	PRP9
TFIID-dominated	YDL031W	DBP10
TFIID-dominated	YDL032W	
TFIID-dominated	YDL033C	
TFIID-dominated	YDL034W	
no call	YDL035C	GPR1
TFIID-dominated	YDL036C	
TFIID-dominated	YDL037C	
no call	YDL038C	
TFIID-dominated	YDL039C	PRM7
TFIID-dominated	YDL040C	NAT1
TFIID-dominated	YDL041W	
TFIID-dominated	YDL042C	SIR2
TFIID-dominated	YDL043C	PRP11
TFIID-dominated	YDL044C	MTF2
TFIID-dominated	YDL045C	FAD1
TFIID-dominated	YDL045W-A	MRP10
TFIID-dominated	YDL046W	
TFIID-dominated	YDL047W	SIT4
SAGA-dominated	YDL048C	STP4
TFIID-dominated	YDL049C	KNH1
TFIID-dominated	YDL050C	
TFIID-dominated	YDL051W	LHP1
TFIID-dominated	YDL052C	SLC1
TFIID-dominated	YDL053C	
TFIID-dominated	YDL054C	MCH1
SAGA-dominated	YDL055C	PSA1
TFIID-dominated	YDL056W	MBP1
TFIID-dominated	YDL057W	
TFIID-dominated	YDL058W	USO1
TFIID-dominated	YDL059C	RAD59
TFIID-dominated	YDL060W	TSR1
TFIID-dominated	YDL061C	RPS29B
TFIID-dominated	YDL062W	
TFIID-dominated	YDL063C	
TFIID-dominated	YDL064W	UBC9
TFIID-dominated	YDL065C	PEX19
TFIID-dominated	YDL066W	IDP1
TFIID-dominated	YDL067C	COX9
TFIID-dominated	YDL068W	
TFIID-dominated	YDL069C	CBS1
SAGA-dominated	YDL070W	BDF2
SAGA-dominated	YDL071C	
TFIID-dominated	YDL072C	
TFIID-dominated	YDL073W	
TFIID-dominated	YDL074C	BRE1
TFIID-dominated	YDL075W	RPL31A
TFIID-dominated	YDL076C	RXT3
TFIID-dominated	YDL077C	VAM6
TFIID-dominated	YDL078C	MDH3
TFIID-dominated	YDL079C	MRK1
TFIID-dominated	YDL080C	THI3
TFIID-dominated	YDL081C	RPP1A
TFIID-dominated	YDL082W	RPL13A
TFIID-dominated	YDL083C	RPS16B
TFIID-dominated	YDL084W	SUB2
TFIID-dominated	YDL085W	NDE2
TFIID-dominated	YDL086W	
TFIID-dominated	YDL087C	LUC7
TFIID-dominated	YDL088C	ASM4
TFIID-dominated	YDL089W	
TFIID-dominated	YDL090C	RAM1
TFIID-dominated	YDL091C	
TFIID-dominated	YDL092W	SRP14
TFIID-dominated	YDL093W	PMT5
TFIID-dominated	YDL094C	
TFIID-dominated	YDL095W	PMT1
TFIID-dominated	YDL096C	
TFIID-dominated	YDL097C	RPN6
TFIID-dominated	YDL098C	SNU23
TFIID-dominated	YDL099W	
TFIID-dominated	YDL100C	ARR4
TFIID-dominated	YDL101C	DUN1
TFIID-dominated	YDL102W	CDC2
TFIID-dominated	YDL103C	QRI1
TFIID-dominated	YDL104C	QRI7
TFIID-dominated	YDL105W	QRI2
TFIID-dominated	YDL106C	PHO2
SAGA-dominated	YDL107W	MSS2
TFIID-dominated	YDL108W	KIN28
TFIID-dominated	YDL109C	
SAGA-dominated	YDL110C	
TFIID-dominated	YDL111C	RRP42
TFIID-dominated	YDL112W	TRM3
SAGA-dominated	YDL113C	CVT20
no call	YDL114W	
TFIID-dominated	YDL115C	IWR1
TFIID-dominated	YDL116W	NUP84
TFIID-dominated	YDL117W	CYK3
TFIID-dominated	YDL118W	
TFIID-dominated	YDL119C	
TFIID-dominated	YDL120W	YFH1
TFIID-dominated	YDL121C	
TFIID-dominated	YDL122W	UBP1
TFIID-dominated	YDL123W	SNA4
SAGA-dominated	YDL124W	
TFIID-dominated	YDL125C	HNT1
TFIID-dominated	YDL126C	CDC48
TFIID-dominated	YDL127W	PCL2
TFIID-dominated	YDL128W	VCX1
TFIID-dominated	YDL129W	
TFIID-dominated	YDL130W	RPP1B
SAGA-dominated	YDL131W	LYS21
TFIID-dominated	YDL132W	CDC53
no call	YDL133C-A	RPL41B
TFIID-dominated	YDL133W	
TFIID-dominated	YDL134C	PPH21
TFIID-dominated	YDL135C	RDI1
TFIID-dominated	YDL136W	RPL35B
TFIID-dominated	YDL137W	ARF2
TFIID-dominated	YDL138W	RGT2
TFIID-dominated	YDL139C	SCM3
TFIID-dominated	YDL140C	RPO21
TFIID-dominated	YDL141W	BPL1
TFIID-dominated	YDL142C	CRD1
TFIID-dominated	YDL143W	CCT4
TFIID-dominated	YDL144C	
TFIID-dominated	YDL145C	COP1
TFIID-dominated	YDL146W	
TFIID-dominated	YDL147W	RPN5
TFIID-dominated	YDL148C	NOP14
TFIID-dominated	YDL149W	APG9
TFIID-dominated	YDL150W	RPC53
TFIID-dominated	YDL151C	BUD30
TFIID-dominated	YDL152W	
TFIID-dominated	YDL153C	SAS10
TFIID-dominated	YDL154W	MSH5
TFIID-dominated	YDL155W	CLB3
TFIID-dominated	YDL156W	
TFIID-dominated	YDL157C	
TFIID-dominated	YDL158C	
TFIID-dominated	YDL159W	STE7
TFIID-dominated	YDL160C	DHH1
TFIID-dominated	YDL161W	ENT1
no call	YDL162C	
TFIID-dominated	YDL163W	
TFIID-dominated	YDL164C	CDC9
TFIID-dominated	YDL165W	CDC36
TFIID-dominated	YDL166C	FAP7
TFIID-dominated	YDL167C	NRP1
TFIID-dominated	YDL168W	SFA1
SAGA-dominated	YDL169C	UGX2
TFIID-dominated	YDL170W	UGA3
TFIID-dominated	YDL171C	GLT1
TFIID-dominated	YDL172C	
TFIID-dominated	YDL173W	
SAGA-dominated	YDL174C	DLD1
TFIID-dominated	YDL175C	AIR2
TFIID-dominated	YDL176W	
TFIID-dominated	YDL177C	
TFIID-dominated	YDL178W	DLD2
TFIID-dominated	YDL179W	PCL9
TFIID-dominated	YDL180W	
TFIID-dominated	YDL181W	INH1
SAGA-dominated	YDL182W	LYS20
TFIID-dominated	YDL183C	
TFIID-dominated	YDL184C	RPL41A
TFIID-dominated	YDL185W	TFP1
TFIID-dominated	YDL186W	
TFIID-dominated	YDL187C	
TFIID-dominated	YDL188C	PPH22
TFIID-dominated	YDL189W	RBS1
TFIID-dominated	YDL190C	UFD2
TFIID-dominated	YDL191W	RPL35A
TFIID-dominated	YDL192W	ARF1
TFIID-dominated	YDL193W	
TFIID-dominated	YDL194W	SNF3
TFIID-dominated	YDL195W	SEC31
no call	YDL196W	
TFIID-dominated	YDL197C	ASF2
SAGA-dominated	YDL198C	YHM1
TFIID-dominated	YDL199C	
TFIID-dominated	YDL200C	MGT1
TFIID-dominated	YDL201W	TRM8
TFIID-dominated	YDL202W	MRPL11
TFIID-dominated	YDL203C	
SAGA-dominated	YDL204W	RTN2
TFIID-dominated	YDL205C	HEM3
TFIID-dominated	YDL206W	
TFIID-dominated	YDL207W	GLE1
TFIID-dominated	YDL208W	NHP2
TFIID-dominated	YDL209C	CWC2
SAGA-dominated	YDL210W	UGA4
TFIID-dominated	YDL211C	
TFIID-dominated	YDL212W	SHR3
TFIID-dominated	YDL213C	NOP6
TFIID-dominated	YDL214C	PRR2
no call	YDL215C	GDH2
TFIID-dominated	YDL216C	RRI1
TFIID-dominated	YDL217C	TIM22
TFIID-dominated	YDL218W	
TFIID-dominated	YDL219W	DTD1
TFIID-dominated	YDL220C	CDC13
TFIID-dominated	YDL221W	
SAGA-dominated	YDL222C	
SAGA-dominated	YDL223C	HBT1
TFIID-dominated	YDL224C	WHI4
TFIID-dominated	YDL225W	SHS1
TFIID-dominated	YDL226C	GCS1
	YDL227C	HO
TFIID-dominated	YDL228C	
no call	YDL229W	SSB1
TFIID-dominated	YDL230W	PTP1
TFIID-dominated	YDL231C	BRE4
TFIID-dominated	YDL232W	OST4
TFIID-dominated	YDL233W	
SAGA-dominated	YDL234C	GYP7
TFIID-dominated	YDL235C	YPD1
TFIID-dominated	YDL236W	PHO13
TFIID-dominated	YDL237W	
SAGA-dominated	YDL238C	
TFIID-dominated	YDL239C	ADY3
TFIID-dominated	YDL240W	LRG1
TFIID-dominated	YDL241W	
no call	YDL242W	
TFIID-dominated	YDL243C	AAD4
TFIID-dominated	YDL244W	THI13
SAGA/TFIID	YDL245C	HXT15
SAGA/TFIID	YDL246C	SOR2
TFIID-dominated	YDL247W	MPH2
TFIID-dominated	YDL248W	COS7
SAGA-dominated	YDR001C	NTH1
TFIID-dominated	YDR002W	YRB1
TFIID-dominated	YDR003W	
TFIID-dominated	YDR004W	RAD57
TFIID-dominated	YDR005C	MAF1
TFIID-dominated	YDR006C	SOK1
TFIID-dominated	YDR007W	TRP1
TFIID-dominated	YDR008C	
no call	YDR009W	GAL3
no call	YDR010C	
SAGA-dominated	YDR011W	SNQ2
TFIID-dominated	YDR012W	RPL4B
TFIID-dominated	YDR013W	
TFIID-dominated	YDR014W	RAD61
no call	YDR015C	
TFIID-dominated	YDR016C	DAD1
TFIID-dominated	YDR017C	KCS1
no call	YDR018C	
SAGA-dominated	YDR019C	GCV1
TFIID-dominated	YDR020C	
TFIID-dominated	YDR021W	FAL1
TFIID-dominated	YDR022C	CIS1
TFIID-dominated	YDR023W	SES1
no call	YDR024W	FYV1
TFIID-dominated	YDR025W	RPS11A
TFIID-dominated	YDR026C	
TFIID-dominated	YDR027C	LUV1
TFIID-dominated	YDR028C	REG1
TFIID-dominated	YDR029W	
TFIID-dominated	YDR030C	RAD28
TFIID-dominated	YDR031W	
TFIID-dominated	YDR032C	PST2
SAGA-dominated	YDR033W	MRH1
TFIID-dominated	YDR034C	LYS14
TFIID-dominated	YDR035W	ARO3
TFIID-dominated	YDR036C	MRP5
TFIID-dominated	YDR037W	KRS1
TFIID-dominated	YDR038C	ENA5
TFIID-dominated	YDR039C	ENA2
TFIID-dominated	YDR040C	ENA1
TFIID-dominated	YDR041W	RSM10
TFIID-dominated	YDR042C	
SAGA-dominated	YDR043C	NRG1
TFIID-dominated	YDR044W	HEM13
TFIID-dominated	YDR045C	RPC11
SAGA-dominated	YDR046C	BAP3
TFIID-dominated	YDR047W	HEM12
TFIID-dominated	YDR048C	
TFIID-dominated	YDR049W	
SAGA-dominated	YDR050C	TPI1
TFIID-dominated	YDR051C	
TFIID-dominated	YDR052C	DBF4
TFIID-dominated	YDR053W	
TFIID-dominated	YDR054C	CDC34
SAGA-dominated	YDR055W	PST1
TFIID-dominated	YDR056C	
TFIID-dominated	YDR057W	YOS9
TFIID-dominated	YDR058C	TGL2
TFIID-dominated	YDR059C	UBC5
TFIID-dominated	YDR060W	MAK21
TFIID-dominated	YDR061W	
TFIID-dominated	YDR062W	LCB2
TFIID-dominated	YDR063W	
TFIID-dominated	YDR064W	RPS13
TFIID-dominated	YDR065W	
TFIID-dominated	YDR066C	
TFIID-dominated	YDR067C	
TFIID-dominated	YDR068W	DOS2
TFIID-dominated	YDR069C	DOA4
no call	YDR070C	
TFIID-dominated	YDR071C	
TFIID-dominated	YDR072C	IPT1
TFIID-dominated	YDR073W	SNF11
TFIID-dominated	YDR074W	TPS2
TFIID-dominated	YDR075W	PPH3
TFIID-dominated	YDR076W	RAD55
TFIID-dominated	YDR077W	SED1
TFIID-dominated	YDR078C	SHU2
TFIID-dominated	YDR079W	PET100
TFIID-dominated	YDR080W	VPS41
TFIID-dominated	YDR081C	PDC2
TFIID-dominated	YDR082W	STN1
TFIID-dominated	YDR083W	RRP8
TFIID-dominated	YDR084C	
SAGA-dominated	YDR085C	AFR1
SAGA-dominated	YDR086C	SSS1
TFIID-dominated	YDR087C	RRP1
TFIID-dominated	YDR088C	SLU7
TFIID-dominated	YDR089W	
TFIID-dominated	YDR090C	
no call	YDR091C	RLI1
SAGA/TFIID	YDR092W	UBC13
no call	YDR093W	DNF2
TFIID-dominated	YDR094W	
TFIID-dominated	YDR095C	
SAGA-dominated	YDR096W	GIS1
TFIID-dominated	YDR097C	MSH6
TFIID-dominated	YDR098C	GRX3
TFIID-dominated	YDR099W	BMH2
no call	YDR100W	
TFIID-dominated	YDR101C	ARX1
TFIID-dominated	YDR102C	
TFIID-dominated	YDR103W	STE5
TFIID-dominated	YDR104C	SPO71
TFIID-dominated	YDR105C	
TFIID-dominated	YDR106W	ARP10
TFIID-dominated	YDR107C	
TFIID-dominated	YDR108W	GSG1
TFIID-dominated	YDR109C	
TFIID-dominated	YDR110W	FOB1
no call	YDR111C	
TFIID-dominated	YDR112W	
TFIID-dominated	YDR113C	PDS1
TFIID-dominated	YDR114C	
TFIID-dominated	YDR115W	
TFIID-dominated	YDR116C	MRPL1
TFIID-dominated	YDR117C	
TFIID-dominated	YDR118W	APC4
TFIID-dominated	YDR119W	
SAGA/TFIID	YDR120C	TRM1
no call	YDR121W	DPB4
TFIID-dominated	YDR122W	KIN1
TFIID-dominated	YDR123C	INO2
TFIID-dominated	YDR124W	
TFIID-dominated	YDR125C	ECM18
TFIID-dominated	YDR126W	SWF1
TFIID-dominated	YDR127W	ARO1
no call	YDR128W	
TFIID-dominated	YDR129C	SAC6
TFIID-dominated	YDR130C	FIN1
TFIID-dominated	YDR131C	
SAGA-dominated	YDR132C	
TFIID-dominated	YDR133C	
TFIID-dominated	YDR134C	
TFIID-dominated	YDR135C	YCF1
TFIID-dominated	YDR136C	VPS61
TFIID-dominated	YDR137W	RGP1
TFIID-dominated	YDR138W	HPR1
TFIID-dominated	YDR139C	RUB1
TFIID-dominated	YDR140W	
TFIID-dominated	YDR141C	DOP1
TFIID-dominated	YDR142C	PEX7
TFIID-dominated	YDR143C	SAN1
SAGA-dominated	YDR144C	MKC7
TFIID-dominated	YDR145W	TAF12
TFIID-dominated	YDR146C	SWI5
TFIID-dominated	YDR147W	EKI1
SAGA-dominated	YDR148C	KGD2
TFIID-dominated	YDR149C	
TFIID-dominated	YDR150W	NUM1
TFIID-dominated	YDR151C	CTH1
TFIID-dominated	YDR152W	
TFIID-dominated	YDR153C	ENT5
no call	YDR154C	
SAGA-dominated	YDR155C	CPR1
TFIID-dominated	YDR156W	RPA14
TFIID-dominated	YDR157W	
TFIID-dominated	YDR158W	HOM2
TFIID-dominated	YDR159W	SAC3
TFIID-dominated	YDR160W	SSY1
TFIID-dominated	YDR161W	TCI1
TFIID-dominated	YDR162C	NBP2
TFIID-dominated	YDR163W	CWC15
TFIID-dominated	YDR164C	SEC1
TFIID-dominated	YDR165W	TRM82
TFIID-dominated	YDR166C	SEC5
TFIID-dominated	YDR167W	TAF10
TFIID-dominated	YDR168W	CDC37
TFIID-dominated	YDR169C	STB3
TFIID-dominated	YDR170C	SEC7
SAGA-dominated	YDR171W	HSP42
TFIID-dominated	YDR172W	SUP35
TFIID-dominated	YDR173C	ARG82
TFIID-dominated	YDR174W	HMO1
TFIID-dominated	YDR175C	RSM24
TFIID-dominated	YDR176W	NGG1
TFIID-dominated	YDR177W	UBC1
TFIID-dominated	YDR178W	SDH4
TFIID-dominated	YDR179C	CSN9
TFIID-dominated	YDR179W-A	
TFIID-dominated	YDR180W	SCC2
TFIID-dominated	YDR181C	SAS4
TFIID-dominated	YDR182W	CDC1
TFIID-dominated	YDR183W	PLP1
TFIID-dominated	YDR184C	ATC1
TFIID-dominated	YDR185C	
TFIID-dominated	YDR186C	
TFIID-dominated	YDR187C	
TFIID-dominated	YDR188W	CCT6
TFIID-dominated	YDR189W	SLY1
TFIID-dominated	YDR190C	RVB1
TFIID-dominated	YDR191W	HST4
TFIID-dominated	YDR192C	NUP42
TFIID-dominated	YDR193W	
TFIID-dominated	YDR194C	MSS116
TFIID-dominated	YDR195W	REF2
TFIID-dominated	YDR196C	
TFIID-dominated	YDR197W	CBS2
TFIID-dominated	YDR198C	
TFIID-dominated	YDR199W	
TFIID-dominated	YDR200C	VPS64
TFIID-dominated	YDR201W	SPC19
TFIID-dominated	YDR202C	RAV2
TFIID-dominated	YDR203W	
TFIID-dominated	YDR204W	COQ4
TFIID-dominated	YDR205W	MSC2
TFIID-dominated	YDR206W	EBS1
TFIID-dominated	YDR207C	UME6
TFIID-dominated	YDR208W	MSS4
TFIID-dominated	YDR209C	
TFIID-dominated	YDR210W	
TFIID-dominated	YDR211W	GCD6
TFIID-dominated	YDR212W	TCP1
TFIID-dominated	YDR213W	UPC2
TFIID-dominated	YDR214W	AHA1
no call	YDR215C	
TFIID-dominated	YDR216W	ADR1
TFIID-dominated	YDR217C	RAD9
TFIID-dominated	YDR218C	SPR28
TFIID-dominated	YDR219C	
no call	YDR220C	
TFIID-dominated	YDR221W	
SAGA-dominated	YDR222W	
TFIID-dominated	YDR223W	
TFIID-dominated	YDR224C	HTB1
TFIID-dominated	YDR225W	HTA1
TFIID-dominated	YDR226W	ADK1
TFIID-dominated	YDR227W	SIR4
TFIID-dominated	YDR228C	PCF11
TFIID-dominated	YDR229W	
TFIID-dominated	YDR230W	
TFIID-dominated	YDR231C	COX20
TFIID-dominated	YDR232W	HEM1
TFIID-dominated	YDR233C	RTN1
TFIID-dominated	YDR234W	LYS4
TFIID-dominated	YDR235W	PRP42
TFIID-dominated	YDR236C	FMN1
TFIID-dominated	YDR237W	MRPL7
TFIID-dominated	YDR238C	SEC26
TFIID-dominated	YDR239C	
TFIID-dominated	YDR240C	SNU56
TFIID-dominated	YDR241W	BUD26
SAGA/TFIID	YDR242W	AMD2
TFIID-dominated	YDR243C	PRP28
TFIID-dominated	YDR244W	PEX5
TFIID-dominated	YDR245W	MNN10
TFIID-dominated	YDR246W	TRS23
SAGA-dominated	YDR247W	
TFIID-dominated	YDR248C	
TFIID-dominated	YDR249C	
no call	YDR250C	
TFIID-dominated	YDR251W	PAM1
TFIID-dominated	YDR252W	BTT1
TFIID-dominated	YDR253C	MET32
TFIID-dominated	YDR254W	CHL4
SAGA-dominated	YDR255C	RMD5
TFIID-dominated	YDR256C	CTA1
TFIID-dominated	YDR257C	RMS1
SAGA-dominated	YDR258C	HSP78
TFIID-dominated	YDR259C	YAP6
TFIID-dominated	YDR260C	SWM1
SAGA/TFIID	YDR261C	EXG2
TFIID-dominated	YDR262W	
SAGA/TFIID	YDR263C	DIN7
TFIID-dominated	YDR264C	AKR1
TFIID-dominated	YDR265W	PEX10
TFIID-dominated	YDR266C	
TFIID-dominated	YDR267C	
TFIID-dominated	YDR268W	MSW1
TFIID-dominated	YDR269C	
TFIID-dominated	YDR270W	CCC2
TFIID-dominated	YDR271C	
TFIID-dominated	YDR272W	GLO2
TFIID-dominated	YDR273W	DON1
SAGA/TFIID	YDR274C	
TFIID-dominated	YDR275W	
SAGA-dominated	YDR276C	PMP3
SAGA-dominated	YDR277C	MTH1
TFIID-dominated	YDR278C	
TFIID-dominated	YDR279W	
TFIID-dominated	YDR280W	RRP45
SAGA/TFIID	YDR281C	PHM6
TFIID-dominated	YDR282C	
TFIID-dominated	YDR283C	GCN2
TFIID-dominated	YDR284C	DPP1
TFIID-dominated	YDR285W	ZIP1
TFIID-dominated	YDR286C	
TFIID-dominated	YDR287W	
TFIID-dominated	YDR288W	
TFIID-dominated	YDR289C	RTT103
TFIID-dominated	YDR290W	
TFIID-dominated	YDR291W	
TFIID-dominated	YDR292C	SRP101
TFIID-dominated	YDR293C	SSD1
TFIID-dominated	YDR294C	DPL1
TFIID-dominated	YDR295C	PLO2
TFIID-dominated	YDR296W	MHR1
SAGA-dominated	YDR297W	SUR2
TFIID-dominated	YDR298C	ATP5
TFIID-dominated	YDR299W	BFR2
TFIID-dominated	YDR300C	PRO1
TFIID-dominated	YDR301W	CFT1
TFIID-dominated	YDR302W	GPI11
TFIID-dominated	YDR303C	RSC3
TFIID-dominated	YDR304C	CPR5
TFIID-dominated	YDR305C	HNT2
TFIID-dominated	YDR306C	
TFIID-dominated	YDR307W	
TFIID-dominated	YDR308C	SRB7
SAGA-dominated	YDR309C	GIC2
no call	YDR310C	SUM1
TFIID-dominated	YDR311W	TFB1
TFIID-dominated	YDR312W	SSF2
TFIID-dominated	YDR313C	PIB1
TFIID-dominated	YDR314C	
TFIID-dominated	YDR315C	IPK1
TFIID-dominated	YDR316W	
no call	YDR317W	
TFIID-dominated	YDR318W	MCM21
TFIID-dominated	YDR319C	
TFIID-dominated	YDR320C	SWA2
TFIID-dominated	YDR321W	ASP1
TFIID-dominated	YDR322W	MRPL35
TFIID-dominated	YDR323C	PEP7
TFIID-dominated	YDR324C	UTP4
TFIID-dominated	YDR325W	YCG1
TFIID-dominated	YDR326C	
TFIID-dominated	YDR327W	
TFIID-dominated	YDR328C	SKP1
no call	YDR329C	PEX3
SAGA-dominated	YDR330W	
TFIID-dominated	YDR331W	GPI8
TFIID-dominated	YDR332W	
TFIID-dominated	YDR333C	
TFIID-dominated	YDR334W	SWR1
TFIID-dominated	YDR335W	MSN5
TFIID-dominated	YDR336W	
TFIID-dominated	YDR337W	MRPS28
TFIID-dominated	YDR338C	
TFIID-dominated	YDR339C	
SAGA-dominated	YDR340W	
TFIID-dominated	YDR341C	
SAGA-dominated	YDR342C	HXT7
SAGA-dominated	YDR343C	HXT6
no call	YDR344C	
SAGA-dominated	YDR345C	HXT3
TFIID-dominated	YDR346C	SGI1
TFIID-dominated	YDR347W	MRP1
no call	YDR348C	
no call	YDR349C	YPS7
TFIID-dominated	YDR350C	TCM10
TFIID-dominated	YDR351W	SBE2
TFIID-dominated	YDR352W	
TFIID-dominated	YDR353W	TRR1
TFIID-dominated	YDR354W	TRP4
TFIID-dominated	YDR355C	
TFIID-dominated	YDR356W	SPC110
TFIID-dominated	YDR357C	
SAGA-dominated	YDR358W	GGA1
TFIID-dominated	YDR359C	VID21
TFIID-dominated	YDR360W	
TFIID-dominated	YDR361C	BCP1
TFIID-dominated	YDR362C	TFC6
TFIID-dominated	YDR363W	ESC2
TFIID-dominated	YDR364C	CDC40
TFIID-dominated	YDR365C	
SAGA-dominated	YDR366C	
TFIID-dominated	YDR367W	
TFIID-dominated	YDR368W	YPR1
TFIID-dominated	YDR369C	XRS2
TFIID-dominated	YDR370C	
TFIID-dominated	YDR371W	CTS2
TFIID-dominated	YDR372C	VPS74
TFIID-dominated	YDR373W	FRQ1
no call	YDR374C	
TFIID-dominated	YDR375C	BCS1
TFIID-dominated	YDR376W	ARH1
TFIID-dominated	YDR377W	ATP17
TFIID-dominated	YDR378C	LSM6
TFIID-dominated	YDR379W	RGA2
SAGA-dominated	YDR380W	ARO10
SAGA/TFIID	YDR381W	YRA1
TFIID-dominated	YDR382W	RPP2B
TFIID-dominated	YDR383C	NKP1
SAGA/TFIID	YDR384C	ATO3
TFIID-dominated	YDR385W	EFT2
TFIID-dominated	YDR386W	MUS81
TFIID-dominated	YDR387C	
TFIID-dominated	YDR388W	RVS167
TFIID-dominated	YDR389W	SAC7
TFIID-dominated	YDR390C	UBA2
TFIID-dominated	YDR391C	
SAGA-dominated	YDR392W	SPT3
no call	YDR393W	SHE9
TFIID-dominated	YDR394W	RPT3
TFIID-dominated	YDR395W	SXM1
SAGA-dominated	YDR396W	
SAGA-dominated	YDR397C	NCB2
TFIID-dominated	YDR398W	UTP5
SAGA-dominated	YDR399W	HPT1
TFIID-dominated	YDR400W	URH1
TFIID-dominated	YDR401W	
TFIID-dominated	YDR402C	DIT2
TFIID-dominated	YDR403W	DIT1
TFIID-dominated	YDR404C	RPB7
TFIID-dominated	YDR405W	MRP20
TFIID-dominated	YDR406W	PDR15
TFIID-dominated	YDR407C	TRS120
TFIID-dominated	YDR408C	ADE8
TFIID-dominated	YDR409W	SIZ1
TFIID-dominated	YDR410C	STE14
TFIID-dominated	YDR411C	
TFIID-dominated	YDR412W	
TFIID-dominated	YDR413C	
TFIID-dominated	YDR414C	ERD1
TFIID-dominated	YDR415C	
TFIID-dominated	YDR416W	SYF1
TFIID-dominated	YDR417C	
TFIID-dominated	YDR418W	RPL12B
TFIID-dominated	YDR419W	RAD30
TFIID-dominated	YDR420W	HKR1
TFIID-dominated	YDR421W	ARO80
TFIID-dominated	YDR422C	SIP1
TFIID-dominated	YDR423C	CAD1
TFIID-dominated	YDR424C	DYN2
TFIID-dominated	YDR425W	SNX41
TFIID-dominated	YDR426C	
TFIID-dominated	YDR427W	RPN9
TFIID-dominated	YDR428C	
TFIID-dominated	YDR429C	TIF35
TFIID-dominated	YDR430C	CYM1
no call	YDR431W	
TFIID-dominated	YDR432W	NPL3
TFIID-dominated	YDR433W	
TFIID-dominated	YDR434W	GPI17
SAGA-dominated	YDR435C	PPM1
TFIID-dominated	YDR436W	PPZ2
TFIID-dominated	YDR437W	
TFIID-dominated	YDR438W	
TFIID-dominated	YDR439W	LRS4
TFIID-dominated	YDR440W	DOT1
TFIID-dominated	YDR441C	APT2
TFIID-dominated	YDR442W	
TFIID-dominated	YDR443C	SSN2
TFIID-dominated	YDR444W	
TFIID-dominated	YDR445C	
no call	YDR446W	ECM11
TFIID-dominated	YDR447C	RPS17B
TFIID-dominated	YDR448W	ADA2
TFIID-dominated	YDR449C	UTP6
TFIID-dominated	YDR450W	RPS18A
TFIID-dominated	YDR451C	YHP1
TFIID-dominated	YDR452W	PPN1
SAGA-dominated	YDR453C	TSA2
TFIID-dominated	YDR454C	GUK1
TFIID-dominated	YDR455C	
TFIID-dominated	YDR456W	NHX1
TFIID-dominated	YDR457W	TOM1
TFIID-dominated	YDR458C	
TFIID-dominated	YDR459C	
TFIID-dominated	YDR460W	TFB3
no call	YDR461W	MFA1
TFIID-dominated	YDR462W	MRPL28
TFIID-dominated	YDR463W	STP1
TFIID-dominated	YDR464W	SPP41
TFIID-dominated	YDR465C	RMT2
TFIID-dominated	YDR466W	
TFIID-dominated	YDR467C	
TFIID-dominated	YDR468C	TLG1
TFIID-dominated	YDR469W	SDC1
TFIID-dominated	YDR470C	UGO1
TFIID-dominated	YDR471W	RPL27B
TFIID-dominated	YDR472W	TRS31
TFIID-dominated	YDR473C	PRP3
TFIID-dominated	YDR474C	
TFIID-dominated	YDR475C	JIP4
TFIID-dominated	YDR476C	
TFIID-dominated	YDR477W	SNF1
TFIID-dominated	YDR478W	SNM1
TFIID-dominated	YDR479C	
TFIID-dominated	YDR480W	DIG2
TFIID-dominated	YDR481C	PHO8
TFIID-dominated	YDR482C	CWC21
TFIID-dominated	YDR483W	KRE2
TFIID-dominated	YDR484W	SAC2
TFIID-dominated	YDR485C	VPS72
TFIID-dominated	YDR486C	VPS60
TFIID-dominated	YDR487C	RIB3
SAGA/TFIID	YDR488C	PAC11
TFIID-dominated	YDR489W	
TFIID-dominated	YDR490C	PKH1
TFIID-dominated	YDR491C	
TFIID-dominated	YDR492W	
TFIID-dominated	YDR493W	
TFIID-dominated	YDR494W	RSM28
no call	YDR495C	VPS3
TFIID-dominated	YDR496C	PUF6
TFIID-dominated	YDR497C	ITR1
TFIID-dominated	YDR498C	SEC20
TFIID-dominated	YDR499W	LCD1
TFIID-dominated	YDR500C	RPL37B
TFIID-dominated	YDR501W	PLM2
TFIID-dominated	YDR502C	SAM2
TFIID-dominated	YDR503C	LPP1
TFIID-dominated	YDR504C	
TFIID-dominated	YDR505C	PSP1
TFIID-dominated	YDR506C	
SAGA-dominated	YDR507C	GIN4
TFIID-dominated	YDR508C	GNP1
TFIID-dominated	YDR509W	
TFIID-dominated	YDR510W	SMT3
TFIID-dominated	YDR511W	ACN9
TFIID-dominated	YDR512C	EMI1
SAGA-dominated	YDR513W	TTR1
TFIID-dominated	YDR514C	
TFIID-dominated	YDR515W	SLF1
TFIID-dominated	YDR516C	EMI2
TFIID-dominated	YDR517W	GRH1
TFIID-dominated	YDR518W	EUG1
TFIID-dominated	YDR519W	FPR2
TFIID-dominated	YDR520C	
TFIID-dominated	YDR521W	
TFIID-dominated	YDR522C	SPS2
no call	YDR523C	SPS1
TFIID-dominated	YDR524C	AGE1
no call	YDR525W	API2
TFIID-dominated	YDR526C	
TFIID-dominated	YDR527W	
TFIID-dominated	YDR528W	HLR1
TFIID-dominated	YDR529C	QCR7
