	logFC	logCPM	PValue	FDR	de
ENSMUSG00000042686	0.606021301538893	1.95950972608153	0.00812645445446953	0.0255005096609188	TRUE
ENSMUSG00000025776	-0.918201198678678	0.867311120374093	0.00761936381453203	0.0241520120175452	TRUE
ENSMUSG00000043760	0.676876605651551	3.78897057031879	0.000127520295693109	0.000766869396604383	TRUE
ENSMUSG00000041872	0.81907013111332	0.404819426995506	0.0241414552096842	0.0615772951486524	FALSE
ENSMUSG00000041859	-0.50669614870144	9.14732465600309	0.000270960900125163	0.00147249242322765	TRUE
ENSMUSG00000025931	-0.784586795506469	4.44472961947044	2.50645543271392e-08	3.59808617916654e-07	TRUE
ENSMUSG00000041809	-0.437853562803549	0.611382915646523	0.293805811825263	0.423847972577493	FALSE
ENSMUSG00000041779	0.776471442055849	4.2082033061655	0.0011473234423313	0.00502292206843446	TRUE
ENSMUSG00000025933	-0.310876584699982	1.59698866142438	0.208426709628258	0.328631019792913	FALSE
ENSMUSG00000025934	-0.696406357526587	4.79275347748626	2.53261099846396e-06	2.42291155270877e-05	TRUE
ENSMUSG00000041670	-0.703708882718253	4.38853603686863	1.67232648597519e-05	0.000129053970177364	TRUE
ENSMUSG00000026158	0.460705209311974	3.40239103506535	0.0179140953236964	0.0483259940479338	TRUE
ENSMUSG00000026156	0.42072933973908	2.46625808056148	0.0593555630637789	0.125288424979017	FALSE
ENSMUSG00000026155	-0.188892562696867	4.59090643397863	0.284187134203256	0.413445181582583	FALSE
ENSMUSG00000026154	-0.951582464574921	2.55186050653557	1.65995851842281e-05	0.000128403773232503	TRUE
ENSMUSG00000026153	0.422883332822502	5.18710442092917	0.000645635608485766	0.0030958959823307	TRUE
ENSMUSG00000073725	0.404271697293086	4.16992339087717	0.00795400019301597	0.0250509066143176	TRUE
ENSMUSG00000033569	0.838525962987992	-0.107500017464958	0.0376962514669201	0.0879984881312742	FALSE
ENSMUSG00000048874	-0.106497222524202	8.67956494719496	0.403901102368716	0.537725878897318	FALSE
ENSMUSG00000026064	0.606681992866248	4.69253709707029	1.14793322701759e-05	9.30950807129143e-05	TRUE
ENSMUSG00000026134	-0.0563662459033947	6.0584586163575	0.616329756975079	0.727406825314908	FALSE
ENSMUSG00000004768	0.0860758956633901	4.94238874004169	0.522089555997341	0.647100895010057	FALSE
ENSMUSG00000042215	-0.197415495071567	1.50582732571919	0.550407731906641	0.671596182692373	FALSE
ENSMUSG00000042197	0.348123556180689	7.33240832453596	0.00872052679237821	0.0269219319266723	TRUE
ENSMUSG00000026131	0.0239455792677279	7.46986326287595	0.878534270943183	0.923320480719676	FALSE
ENSMUSG00000042111	-0.425896849905454	3.89477832318609	0.00813282025433422	0.0255034809609842	TRUE
ENSMUSG00000026127	-0.0776295098629689	6.93279981941595	0.505194394531698	0.632097941259254	FALSE
ENSMUSG00000026126	0.190283543173442	0.994659403046328	0.511641875057826	0.637416198388364	FALSE
ENSMUSG00000037509	0.241416769869025	3.9349147205105	0.204700145534297	0.323676823985506	FALSE
ENSMUSG00000037503	-0.483493278090836	6.84142592870544	2.32615090161917e-05	0.000172366025277476	TRUE
ENSMUSG00000026123	-0.60628329717709	5.98921960783608	1.4225688921439e-07	1.76702092588362e-06	TRUE
ENSMUSG00000045216	-0.361572137498593	7.12382981269419	0.00249417142080868	0.00957923594606366	TRUE
ENSMUSG00000037470	-0.137617847208239	9.09408450729837	0.247838598838679	0.373211297911407	FALSE
ENSMUSG00000037447	0.235194521417384	4.108162545811	0.102413063115261	0.190282751024812	FALSE
ENSMUSG00000010453	0.110950855071543	6.08690025639358	0.422094586150302	0.555328042954688	FALSE
ENSMUSG00000037432	0.965702525915864	3.04725993638788	0.000380547780760925	0.00197207295816431	TRUE
ENSMUSG00000001143	0.625379157291134	4.38458691294343	0.00148717510170484	0.00622480489398258	TRUE
ENSMUSG00000037408	0.520872653031585	3.47077780074383	0.00235519858386207	0.00914690813024815	TRUE
ENSMUSG00000001138	0.450798623688983	5.34883651283184	0.000616873666251875	0.00297982082523497	TRUE
ENSMUSG00000079610	0.0590770005025829	2.98451690487985	0.886064232422432	0.928305266410878	FALSE
