	DMSO.REP1	DMSO.REP2	DMSO.REP3	RA.REP1	RA.REP2	RA.REP3
ENSMUSG00000020592	516	415	443	552	107	338
ENSMUSG00000020585	2218	2098	2006	2228	459	1366
ENSMUSG00000020583	11	13	11	56	10	37
ENSMUSG00000066643	1049	846	795	967	234	665
ENSMUSG00000066637	20	31	23	24	11	13
ENSMUSG00000020621	118	67	105	79	29	31
ENSMUSG00000066632	416	239	248	219	58	124
ENSMUSG00000043673	142	120	121	44	17	36
ENSMUSG00000051235	694	626	622	676	166	483
ENSMUSG00000020608	3065	2785	2584	2672	885	1763
ENSMUSG00000020589	194	179	174	293	73	239
ENSMUSG00000066629	137	95	124	90	17	41
ENSMUSG00000037169	1616	1424	1426	587	140	378
ENSMUSG00000037149	4936	4230	4115	4150	1024	2149
ENSMUSG00000020576	1627	1545	1359	1842	457	1478
ENSMUSG00000050974	35	23	28	29	6	20
ENSMUSG00000020601	16	16	12	51	9	42
ENSMUSG00000020593	701	540	511	520	113	417
ENSMUSG00000036523	17	12	13	26	14	29
ENSMUSG00000057469	403	343	382	438	107	262
ENSMUSG00000020580	3205	2981	2846	3791	1177	2795
ENSMUSG00000045679	511	533	434	476	116	356
ENSMUSG00000051726	99	94	99	54	33	54
ENSMUSG00000020571	9309	7916	7474	9364	1979	5317
ENSMUSG00000020566	37	38	31	7	1	13
ENSMUSG00000061458	1215	1135	1042	1128	289	854
ENSMUSG00000011179	2644	2403	2366	2403	512	1366
ENSMUSG00000071379	117	91	99	123	20	98
ENSMUSG00000067356	7	13	4	9	5	17
ENSMUSG00000073197	114	102	97	84	25	67
ENSMUSG00000094947	3	12	6	13	9	24
ENSMUSG00000093908	7	16	13	11	7	15
ENSMUSG00000096529	27	18	25	17	4	8
ENSMUSG00000073184	21	18	20	9	4	21
ENSMUSG00000069755	131	107	94	119	33	70
ENSMUSG00000052632	414	378	324	332	88	358
ENSMUSG00000062352	325	291	284	250	60	173
ENSMUSG00000054309	2261	1899	1850	1732	422	1107
ENSMUSG00000062054	467	352	397	386	57	240
ENSMUSG00000052593	1607	1421	1289	1888	458	1281
ENSMUSG00000076432	1546	1295	1285	2362	700	1356
ENSMUSG00000071362	30	40	32	34	14	39
ENSMUSG00000073158	28	25	33	22	6	27
ENSMUSG00000057160	16	12	20	6	5	5
ENSMUSG00000059669	636	626	552	644	164	416
ENSMUSG00000020656	208	199	153	238	66	178
ENSMUSG00000020653	761	762	652	629	132	384
ENSMUSG00000020649	3830	3315	3166	2521	611	1785
ENSMUSG00000020646	670	541	559	585	153	382
ENSMUSG00000036333	1684	1547	1217	1622	364	1185
ENSMUSG00000020644	92	63	83	34	14	22
ENSMUSG00000020642	38	58	55	51	12	30
ENSMUSG00000063632	278	220	216	400	133	298
ENSMUSG00000061477	458	420	435	460	95	286
ENSMUSG00000020630	676	564	596	632	139	386
ENSMUSG00000020629	507	476	435	312	81	219
ENSMUSG00000020628	1138	991	894	955	198	693
ENSMUSG00000036613	526	479	477	470	88	310
ENSMUSG00000020674	103	102	86	311	83	221
ENSMUSG00000043061	722	575	566	434	97	261
ENSMUSG00000044573	388	379	316	333	82	191
ENSMUSG00000020669	63	60	47	51	12	38
ENSMUSG00000002900	649	633	486	1115	238	715
ENSMUSG00000020664	1475	1325	1243	1321	399	778
ENSMUSG00000020659	592	557	478	559	156	394
ENSMUSG00000020650	265	260	207	280	99	206
ENSMUSG00000020648	157	158	135	141	35	92
ENSMUSG00000035933	1062	937	861	1055	271	790
ENSMUSG00000044067	93	130	67	166	54	217
ENSMUSG00000002996	1593	1537	1381	1560	418	1158
ENSMUSG00000002997	64	75	54	61	21	40
ENSMUSG00000090946	87	55	74	63	17	38
ENSMUSG00000020572	3699	3103	2887	2864	943	1645
ENSMUSG00000020570	527	473	413	491	157	379
ENSMUSG00000020564	151	165	96	184	57	254
ENSMUSG00000020562	19	16	16	11	3	4
ENSMUSG00000020561	1022	932	892	1092	371	611
ENSMUSG00000035799	23	21	18	17	4	12
ENSMUSG00000020590	811	664	625	779	247	597
ENSMUSG00000019256	324	298	270	152	56	111
ENSMUSG00000020577	627	528	511	519	107	336
ENSMUSG00000059301	32	37	32	51	10	38
ENSMUSG00000020547	1857	1699	1760	1675	389	979
ENSMUSG00000036188	659	607	603	570	163	324
ENSMUSG00000043153	43	37	26	42	6	22
ENSMUSG00000036095	8	5	4	24	3	24
ENSMUSG00000004151	171	207	149	261	90	243
ENSMUSG00000047446	357	274	288	431	118	243
ENSMUSG00000001627	1045	959	904	1059	318	790
ENSMUSG00000055917	886	776	775	732	173	456
ENSMUSG00000035954	434	384	308	610	174	574
ENSMUSG00000056899	146	144	105	153	20	97
ENSMUSG00000036295	209	171	120	230	95	197
ENSMUSG00000014905	205	219	188	229	71	125
ENSMUSG00000036257	817	747	699	762	231	502
ENSMUSG00000046314	20	18	20	33	11	16
ENSMUSG00000021047	136	144	136	119	31	108
ENSMUSG00000091277	105	92	91	105	17	71
ENSMUSG00000002688	37	51	39	42	15	38
ENSMUSG00000035293	1632	1352	1234	1910	599	1167
ENSMUSG00000020952	1219	1188	1099	1071	325	651
ENSMUSG00000020953	75	81	63	156	38	137
ENSMUSG00000020954	2321	2259	2049	3292	985	2134
ENSMUSG00000020955	143	135	160	232	52	136
ENSMUSG00000035247	4900	4303	4015	8624	2142	5660
ENSMUSG00000035181	2093	1867	1648	1688	392	1324
ENSMUSG00000020956	312	275	286	203	43	144
ENSMUSG00000035142	300	262	249	279	68	186
ENSMUSG00000035133	4216	3754	3621	4093	1318	2681
ENSMUSG00000061603	14	19	15	11	6	10
ENSMUSG00000021010	8	19	13	60	20	61
ENSMUSG00000035105	187	96	112	237	62	183
ENSMUSG00000044408	276	255	240	204	55	103
ENSMUSG00000054302	606	558	494	576	141	304
ENSMUSG00000005656	1620	1342	1368	1087	293	629
ENSMUSG00000062929	866	775	709	896	230	504
ENSMUSG00000035021	899	809	805	1268	344	906
ENSMUSG00000062198	655	548	532	543	163	400
ENSMUSG00000095595	22	34	20	21	5	13
ENSMUSG00000079108	293	258	247	241	71	158
ENSMUSG00000021022	283	254	211	240	74	170
ENSMUSG00000021023	714	647	597	731	161	485
ENSMUSG00000021024	3196	2732	2829	2609	600	1305
ENSMUSG00000021025	615	512	481	294	69	169
ENSMUSG00000063129	568	394	416	311	47	181
ENSMUSG00000021027	1462	1345	1152	1292	353	1048
ENSMUSG00000012076	608	556	524	438	114	261
ENSMUSG00000021028	427	372	359	366	118	218
ENSMUSG00000079104	1249	1125	1070	1088	249	694
ENSMUSG00000047022	163	178	166	221	62	193
ENSMUSG00000035451	6	7	1	30	12	21
ENSMUSG00000020986	2792	2309	2325	1819	398	1125
ENSMUSG00000060121	664	566	550	506	106	291
ENSMUSG00000020993	361	339	326	319	119	151
ENSMUSG00000020994	2178	1996	1585	1814	451	1012
ENSMUSG00000066487	40	40	39	26	5	8
ENSMUSG00000021000	1791	1608	1476	1329	393	957
ENSMUSG00000035329	706	622	612	625	165	397
ENSMUSG00000047227	33	43	40	37	17	21
ENSMUSG00000020948	360	353	317	431	122	260
ENSMUSG00000035614	2224	2029	1983	1778	479	1195
ENSMUSG00000035597	2056	1980	1492	1814	563	1255
ENSMUSG00000020949	2938	2531	2525	1732	624	874
ENSMUSG00000055884	5841	5512	5022	3445	967	2712
ENSMUSG00000047534	3611	3164	2956	4440	1375	2867
ENSMUSG00000035560	116	82	99	134	28	69
ENSMUSG00000060499	1264	1098	1104	941	183	518
ENSMUSG00000034892	3318	2803	2722	2419	586	1136
ENSMUSG00000034883	233	228	217	173	40	98
ENSMUSG00000049751	890	786	810	688	144	368
ENSMUSG00000043998	1065	871	930	908	239	535
ENSMUSG00000020973	399	328	337	290	88	194
ENSMUSG00000097061	76	60	72	91	17	40
ENSMUSG00000020974	1020	853	870	827	198	460
ENSMUSG00000051890	34	30	16	17	3	15
ENSMUSG00000020978	560	554	512	624	150	365
ENSMUSG00000020982	2289	1903	1864	2251	674	1506
ENSMUSG00000044147	2953	2626	2596	3086	768	1592
ENSMUSG00000049882	141	132	121	144	49	80
ENSMUSG00000034801	445	408	388	509	124	431
ENSMUSG00000020988	811	713	672	622	135	368
ENSMUSG00000054894	92	90	97	86	22	50
ENSMUSG00000034761	1259	1192	1080	1055	298	765
ENSMUSG00000021066	83	92	65	81	17	95
ENSMUSG00000021067	548	470	496	419	123	287
ENSMUSG00000021068	761	682	595	439	129	369
ENSMUSG00000021069	49	33	17	16	6	4
ENSMUSG00000021072	1255	1188	1073	1018	262	605
ENSMUSG00000048285	713	622	604	417	110	281
ENSMUSG00000021076	1031	889	943	862	209	499
ENSMUSG00000060073	897	788	742	778	203	512
ENSMUSG00000048118	1118	1040	786	1082	319	888
ENSMUSG00000021079	303	252	265	267	66	163
ENSMUSG00000034601	1866	1776	1402	1899	547	1582
ENSMUSG00000044548	33	53	31	72	21	61
ENSMUSG00000034574	1445	1337	1083	1280	334	884
ENSMUSG00000043398	27	15	24	14	10	12
ENSMUSG00000019718	60	46	49	41	12	24
ENSMUSG00000005078	612	528	493	471	117	261
ENSMUSG00000021087	35	36	22	47	11	37
ENSMUSG00000021090	33	38	33	56	11	35
ENSMUSG00000034501	343	298	263	387	85	345
ENSMUSG00000021094	242	189	179	320	76	194
ENSMUSG00000021096	1998	1712	1691	1730	410	1079
ENSMUSG00000021098	316	408	244	589	236	604
ENSMUSG00000051367	143	116	115	112	29	84
ENSMUSG00000034460	1740	1519	1390	971	264	682
ENSMUSG00000021103	834	758	678	709	209	567
ENSMUSG00000034442	502	430	395	483	105	283
ENSMUSG00000044712	143	149	116	118	33	122
ENSMUSG00000034435	24	39	28	38	11	18
ENSMUSG00000021108	26	17	27	28	9	26
ENSMUSG00000021109	2839	2603	2404	2523	771	1550
ENSMUSG00000021113	260	211	204	207	48	142
ENSMUSG00000021051	810	823	622	770	285	811
ENSMUSG00000045690	7705	6596	6378	5736	1918	3523
ENSMUSG00000021054	282	274	292	304	98	183
ENSMUSG00000063450	1927	1807	1452	1370	378	1212
ENSMUSG00000021056	51	51	63	83	18	59
ENSMUSG00000021048	7349	6367	6128	6987	1515	4354
ENSMUSG00000021057	82	118	73	86	37	203
ENSMUSG00000056459	262	213	200	205	65	159
ENSMUSG00000033454	947	787	760	667	184	441
ENSMUSG00000059970	89	57	74	64	18	43
ENSMUSG00000073000	262	241	234	291	61	201
ENSMUSG00000052609	1397	1303	1206	1172	296	1100
ENSMUSG00000021061	243	295	211	360	82	446
ENSMUSG00000090258	168	159	162	151	31	96
ENSMUSG00000033373	1962	1745	1676	1416	281	1030
ENSMUSG00000042808	100	108	103	39	8	19
ENSMUSG00000021062	355	282	281	189	44	153
ENSMUSG00000059436	989	880	806	835	212	624
ENSMUSG00000021065	626	544	495	475	161	349
ENSMUSG00000047454	228	213	200	235	71	198
ENSMUSG00000021112	1112	1007	965	967	260	626
ENSMUSG00000021114	1277	1186	1121	861	252	537
ENSMUSG00000021116	3588	2967	2910	3286	872	1578
ENSMUSG00000021118	106	86	88	73	26	64
ENSMUSG00000046157	254	196	196	384	93	262
ENSMUSG00000060716	2214	1969	1843	2192	503	1814
ENSMUSG00000021120	230	225	223	174	51	112
ENSMUSG00000021125	36	24	49	48	10	27
ENSMUSG00000021124	515	494	485	502	117	292
ENSMUSG00000066441	552	440	455	598	157	336
ENSMUSG00000021123	21	28	23	31	4	17
ENSMUSG00000066440	1774	1775	1532	1259	338	1347
ENSMUSG00000059060	331	317	213	366	107	347
ENSMUSG00000021127	489	508	433	472	148	380
ENSMUSG00000015143	4012	3938	3118	2788	727	2657
ENSMUSG00000049106	547	487	491	553	131	387
ENSMUSG00000032705	736	617	593	722	185	481
ENSMUSG00000021130	118	107	78	142	34	104
ENSMUSG00000021131	131	103	120	120	20	65
ENSMUSG00000048833	578	567	399	572	137	499
ENSMUSG00000066438	284	196	219	266	57	143
ENSMUSG00000062961	28	17	25	44	9	22
ENSMUSG00000021133	1201	1221	1006	1162	295	1119
ENSMUSG00000021134	5386	4520	3982	4470	982	2195
ENSMUSG00000021135	141	121	111	163	36	112
ENSMUSG00000021136	719	718	595	630	128	474
ENSMUSG00000021139	29	17	15	27	13	32
ENSMUSG00000091803	76	100	83	98	24	105
ENSMUSG00000072974	54	58	40	67	20	118
ENSMUSG00000072972	67	100	43	111	36	220
ENSMUSG00000090935	550	469	454	530	125	356
ENSMUSG00000008438	40	40	21	48	12	46
ENSMUSG00000002679	675	642	648	620	154	350
ENSMUSG00000042734	58	51	57	66	16	36
ENSMUSG00000042724	322	290	232	258	69	226
ENSMUSG00000021140	688	630	474	751	234	869
ENSMUSG00000042700	1461	1426	1129	1087	264	1037
ENSMUSG00000094374	49	39	51	36	10	29
ENSMUSG00000021221	19	20	16	85	22	54
ENSMUSG00000021222	994	846	856	1275	233	889
ENSMUSG00000042628	1095	987	865	1127	225	1064
ENSMUSG00000010608	12837	12292	9665	13176	3698	9278
ENSMUSG00000019969	928	860	691	927	288	676
ENSMUSG00000021223	15	22	15	22	7	39
ENSMUSG00000021224	554	486	394	554	126	428
ENSMUSG00000046791	564	466	469	429	95	253
ENSMUSG00000021226	32	41	29	18	6	16
ENSMUSG00000072949	25	25	14	15	2	10
ENSMUSG00000042523	148	146	99	125	42	122
ENSMUSG00000054383	13	14	8	9	4	24
ENSMUSG00000042507	1033	1018	793	1045	292	861
ENSMUSG00000072946	536	461	439	458	124	272
ENSMUSG00000042472	770	731	608	693	137	415
ENSMUSG00000021234	101	116	65	153	37	134
ENSMUSG00000021235	1094	903	816	1017	184	568
ENSMUSG00000021236	199	194	164	238	44	159
ENSMUSG00000057265	13	17	11	16	4	11
ENSMUSG00000098134	323	271	277	283	86	169
ENSMUSG00000021238	614	535	458	567	149	346
ENSMUSG00000085793	210	202	170	183	35	126
ENSMUSG00000021240	422	329	290	277	49	241
ENSMUSG00000021242	4765	4301	4280	1931	412	1107
ENSMUSG00000021241	229	206	187	175	34	115
ENSMUSG00000002020	37	27	19	30	3	28
ENSMUSG00000042350	1245	1063	967	1103	222	722
ENSMUSG00000021243	601	510	537	501	118	313
ENSMUSG00000021244	1532	1860	1171	1596	616	2054
ENSMUSG00000042320	42	35	18	36	9	64
ENSMUSG00000004789	1877	1836	1575	1800	424	1215
ENSMUSG00000019235	78	77	73	71	7	71
ENSMUSG00000004788	687	635	568	524	115	338
ENSMUSG00000021245	1792	1694	1553	1139	367	790
ENSMUSG00000008822	170	110	134	118	49	58
ENSMUSG00000045064	83	74	54	83	26	61
ENSMUSG00000034290	1365	1294	1063	1118	247	792
ENSMUSG00000021248	1169	1038	967	1046	301	793
ENSMUSG00000021250	23	27	19	18	6	9
ENSMUSG00000034271	534	503	464	263	74	197
ENSMUSG00000034258	585	528	467	432	93	357
ENSMUSG00000021252	667	573	540	555	100	392
ENSMUSG00000012609	872	850	634	953	281	932
ENSMUSG00000007867	106	107	104	86	18	59
ENSMUSG00000021254	488	442	409	452	84	342
ENSMUSG00000021255	13671	12908	11648	8793	1775	6280
ENSMUSG00000021256	66	78	89	147	35	143
ENSMUSG00000021257	268	219	222	337	65	280
ENSMUSG00000034168	1531	1332	1356	1373	382	1227
ENSMUSG00000034157	741	637	575	763	162	524
ENSMUSG00000034145	67	62	60	106	18	116
ENSMUSG00000034126	542	458	471	565	127	394
ENSMUSG00000021033	270	253	213	225	43	181
ENSMUSG00000034111	1206	1130	973	1129	283	903
ENSMUSG00000090812	22	18	14	29	6	24
ENSMUSG00000072919	133	113	126	104	15	60
ENSMUSG00000021038	893	803	867	780	196	508
ENSMUSG00000021037	4795	4169	4046	4026	825	2182
ENSMUSG00000050671	332	283	273	183	28	156
ENSMUSG00000021036	3113	2937	2597	2823	633	1840
ENSMUSG00000079036	2387	2346	1885	2590	645	2250
ENSMUSG00000021040	1135	1033	1064	1063	289	548
ENSMUSG00000021039	1505	1328	1326	1243	304	699
ENSMUSG00000079034	40	28	27	77	27	19
ENSMUSG00000097581	22	19	20	45	8	7
ENSMUSG00000072905	58	39	46	79	18	41
ENSMUSG00000079029	42	33	41	56	12	24
ENSMUSG00000093847	33	34	30	37	9	15
ENSMUSG00000021044	526	462	462	395	69	303
ENSMUSG00000061533	689	718	474	592	191	690
ENSMUSG00000020962	1802	1651	1449	1419	372	1125
ENSMUSG00000020961	575	580	451	646	172	578
ENSMUSG00000020964	1900	1725	1567	1839	500	1426
ENSMUSG00000047414	379	324	288	229	52	164
ENSMUSG00000021003	221	217	204	189	65	156
ENSMUSG00000021007	387	383	339	370	98	236
ENSMUSG00000021009	267	331	214	322	82	360
ENSMUSG00000021012	1575	1495	1314	1373	382	889
ENSMUSG00000051166	1385	1323	1021	1418	417	1282
ENSMUSG00000021013	118	117	120	111	28	97
ENSMUSG00000033713	381	406	321	355	84	348
ENSMUSG00000021176	161	155	145	185	66	148
ENSMUSG00000021177	662	585	478	656	179	520
ENSMUSG00000021178	3501	3202	3029	3103	654	1670
ENSMUSG00000021179	1029	883	817	971	222	658
ENSMUSG00000001175	4739	4037	4392	5159	1248	2697
ENSMUSG00000033530	1113	964	854	1080	254	959
ENSMUSG00000021180	226	200	190	216	45	170
ENSMUSG00000021185	408	355	348	183	41	178
ENSMUSG00000047415	30	23	27	11	4	27
ENSMUSG00000021182	2358	2182	1801	2084	454	2048
ENSMUSG00000041846	4831	4407	4009	3826	1346	2743
ENSMUSG00000021187	57	50	32	24	9	25
ENSMUSG00000021186	129	153	110	39	7	41
ENSMUSG00000021188	1686	1521	1290	1489	466	1255
ENSMUSG00000021189	2042	1859	1649	1483	421	1010
ENSMUSG00000041781	2627	2309	2241	2144	602	1354
ENSMUSG00000044456	33	44	23	32	11	47
ENSMUSG00000021190	1651	1421	1346	1491	332	862
ENSMUSG00000021192	949	873	764	793	190	544
ENSMUSG00000021194	280	278	237	264	62	169
ENSMUSG00000057963	2176	1923	1902	3367	671	2382
ENSMUSG00000041716	126	130	116	123	34	87
ENSMUSG00000046675	326	282	221	276	68	216
ENSMUSG00000091931	140	103	91	119	32	107
ENSMUSG00000041712	3663	3233	3231	3849	877	2178
ENSMUSG00000041702	941	830	779	820	203	641
ENSMUSG00000021203	234	235	214	302	71	188
ENSMUSG00000055271	38	47	28	40	9	44
ENSMUSG00000041645	2517	2165	2101	2212	444	1340
ENSMUSG00000021209	65	66	61	59	18	49
ENSMUSG00000079014	75	96	84	3	2	1
ENSMUSG00000079012	419	395	375	423	94	264
ENSMUSG00000058207	6	10	6	10	8	15
ENSMUSG00000021095	27	25	28	3	0	4
ENSMUSG00000041415	3277	3180	2689	3003	774	2540
ENSMUSG00000021097	212	194	148	175	55	176
ENSMUSG00000054150	52	41	30	57	10	45
ENSMUSG00000021102	331	262	323	261	70	159
ENSMUSG00000060863	46	47	26	20	5	26
ENSMUSG00000041359	2110	1782	1828	988	189	544
ENSMUSG00000094910	16	16	17	15	3	20
ENSMUSG00000041341	1732	1589	1385	1895	443	1451
ENSMUSG00000044715	92	86	69	79	14	56
ENSMUSG00000041323	616	574	522	859	162	502
ENSMUSG00000021111	6626	6137	5487	6645	1839	4943
ENSMUSG00000021115	1583	1454	1447	1333	344	923
ENSMUSG00000048251	13	5	6	15	5	11
ENSMUSG00000056770	814	752	661	781	178	540
ENSMUSG00000021258	434	465	357	426	128	443
ENSMUSG00000084883	194	139	123	155	27	129
ENSMUSG00000058070	37	39	37	15	2	14
ENSMUSG00000021262	118	122	84	117	16	94
ENSMUSG00000021263	30	26	13	40	6	38
ENSMUSG00000021264	1104	1099	983	958	416	829
ENSMUSG00000021265	47	59	44	71	21	122
ENSMUSG00000048856	85	76	49	58	10	85
ENSMUSG00000021266	1919	1691	1619	1570	367	1039
ENSMUSG00000040877	169	167	156	166	35	174
ENSMUSG00000040867	17	17	13	26	7	32
ENSMUSG00000040856	10	8	12	45	10	33
ENSMUSG00000085925	1218	1234	987	1097	212	983
ENSMUSG00000075707	175	139	111	25	9	14
ENSMUSG00000017843	2811	2536	2412	1921	507	1195
ENSMUSG00000018707	23705	22763	17824	19241	4763	15693
ENSMUSG00000056508	34	27	26	25	3	44
ENSMUSG00000021270	22574	19303	19941	16610	4570	8229
ENSMUSG00000037957	479	465	360	489	136	420
ENSMUSG00000056458	556	551	470	392	93	372
ENSMUSG00000021271	336	328	270	238	49	198
ENSMUSG00000021276	648	554	557	696	123	382
ENSMUSG00000021275	764	748	603	860	177	689
ENSMUSG00000037904	199	167	191	228	47	119
ENSMUSG00000037896	697	688	567	746	191	589
ENSMUSG00000021277	420	367	350	402	86	299
ENSMUSG00000021278	9	6	1	33	8	23
ENSMUSG00000021279	1591	1417	1306	1636	391	1453
ENSMUSG00000010529	3	8	5	15	9	19
ENSMUSG00000021282	5889	5472	5200	5277	1418	3458
ENSMUSG00000007411	2373	2089	2002	2062	546	1401
ENSMUSG00000001270	12265	10118	11045	4097	671	2276
ENSMUSG00000060950	820	616	642	587	103	418
ENSMUSG00000049792	438	378	338	289	70	160
ENSMUSG00000037787	323	309	246	225	52	165
ENSMUSG00000021288	724	735	569	626	171	578
ENSMUSG00000021287	291	293	243	236	36	202
ENSMUSG00000021286	302	277	239	209	53	126
ENSMUSG00000021285	191	155	164	209	51	154
ENSMUSG00000021290	852	717	755	588	137	288
ENSMUSG00000054003	25	27	19	25	8	33
ENSMUSG00000037686	32	23	11	15	2	21
ENSMUSG00000021294	40	35	16	55	14	43
ENSMUSG00000054013	13	17	13	32	5	27
ENSMUSG00000037679	50	70	56	78	14	134
ENSMUSG00000064326	466	402	431	445	81	262
ENSMUSG00000001729	610	508	463	534	97	336
ENSMUSG00000072825	868	812	727	1044	246	974
ENSMUSG00000072812	146	155	142	68	24	50
ENSMUSG00000037594	85	64	76	74	11	64
ENSMUSG00000047832	1390	1164	1175	1100	224	624
ENSMUSG00000002799	221	176	160	360	76	265
ENSMUSG00000002804	114	112	98	85	13	45
ENSMUSG00000011158	497	444	367	322	73	361
ENSMUSG00000002803	330	259	281	265	80	273
ENSMUSG00000021143	642	536	504	577	132	521
ENSMUSG00000021144	813	812	663	644	189	629
ENSMUSG00000006356	303	243	224	284	57	182
ENSMUSG00000006360	175	177	154	212	36	110
ENSMUSG00000037466	723	606	537	568	109	454
ENSMUSG00000049036	97	76	71	118	20	60
ENSMUSG00000042063	1040	1061	895	1197	311	925
ENSMUSG00000042050	165	140	132	135	36	85
ENSMUSG00000021171	1959	1791	1611	1927	486	1221
ENSMUSG00000042029	2476	2306	2046	2178	600	1557
ENSMUSG00000056553	12	12	12	15	3	16
ENSMUSG00000041992	252	250	229	632	158	477
ENSMUSG00000021175	203	222	201	286	61	149
ENSMUSG00000018581	19	20	17	38	9	30
ENSMUSG00000025323	350	378	290	485	144	312
ENSMUSG00000048562	33	27	28	46	11	33
ENSMUSG00000072791	25	29	26	31	6	14
ENSMUSG00000021908	848	680	794	699	180	401
ENSMUSG00000021218	7150	6184	6140	4796	1337	2735
ENSMUSG00000033799	2668	2490	2211	3257	1006	2285
ENSMUSG00000033781	221	220	191	132	27	106
ENSMUSG00000021215	1049	968	834	794	196	527
ENSMUSG00000021214	34	27	20	16	1	10
ENSMUSG00000045410	181	127	132	149	27	65
ENSMUSG00000000078	1140	1023	879	918	186	622
ENSMUSG00000021193	2468	2307	2078	1942	464	1233
ENSMUSG00000021196	18039	14886	12523	15393	3638	9911
ENSMUSG00000021147	775	736	609	831	212	630
ENSMUSG00000058258	158	111	120	147	34	97
ENSMUSG00000021149	4257	3750	3607	3867	1045	2179
ENSMUSG00000033499	3865	3609	3172	3954	965	2792
ENSMUSG00000048264	931	866	699	839	212	651
ENSMUSG00000021156	996	916	814	956	239	697
ENSMUSG00000021313	942	984	666	1014	243	1025
ENSMUSG00000021311	1907	1690	1387	1235	304	975
ENSMUSG00000052374	12	15	10	42	12	23
ENSMUSG00000050244	7319	6659	6238	7885	1883	5395
ENSMUSG00000057554	224	208	147	187	47	141
ENSMUSG00000095105	26	28	18	39	7	21
ENSMUSG00000057069	74	63	70	118	33	89
ENSMUSG00000078141	25	21	26	23	3	16
ENSMUSG00000021306	125	150	111	65	30	62
ENSMUSG00000005397	17593	16113	13240	14917	3219	11040
ENSMUSG00000019726	1055	1079	906	1142	304	1060
ENSMUSG00000039242	962	866	701	956	220	648
ENSMUSG00000096192	20	17	15	21	5	13
ENSMUSG00000039233	920	770	666	862	211	631
ENSMUSG00000021302	425	390	378	456	95	259
ENSMUSG00000039219	1635	1565	1211	1677	542	1426
ENSMUSG00000015672	368	340	357	332	97	166
ENSMUSG00000015671	2628	2380	2489	2228	479	1064
ENSMUSG00000039182	222	216	221	268	61	192
ENSMUSG00000021318	518	550	420	457	139	459
ENSMUSG00000012429	335	254	257	334	93	212
ENSMUSG00000041297	2393	2290	1948	2532	741	2013
ENSMUSG00000008859	1013	880	932	1026	274	620
ENSMUSG00000075054	402	281	269	424	113	237
ENSMUSG00000075053	716	632	645	592	133	264
ENSMUSG00000041236	3177	3026	2895	2101	535	1285
ENSMUSG00000021314	788	704	618	615	183	534
ENSMUSG00000003062	1093	976	985	847	229	529
ENSMUSG00000002808	125	140	129	121	33	97
ENSMUSG00000021319	202	159	153	159	44	90
ENSMUSG00000041112	417	416	306	362	94	343
ENSMUSG00000021322	1130	1193	977	760	157	552
ENSMUSG00000021326	2538	2193	2363	2049	549	1282
ENSMUSG00000036721	394	270	319	299	53	146
ENSMUSG00000021327	963	884	779	737	167	561
ENSMUSG00000055313	76	71	50	67	13	57
ENSMUSG00000022228	1662	1575	1367	1374	344	871
ENSMUSG00000059395	24	20	14	21	6	9
ENSMUSG00000054931	19	17	22	17	10	16
ENSMUSG00000078139	123	89	104	86	18	55
ENSMUSG00000079941	230	243	260	246	61	142
ENSMUSG00000063894	678	605	554	719	199	471
ENSMUSG00000094338	1593	1328	1590	1313	278	624
ENSMUSG00000071516	1272	1144	1221	1090	344	644
ENSMUSG00000101355	1985	1725	2200	1514	125	668
ENSMUSG00000096807	2591	2175	2674	2242	345	1052
ENSMUSG00000067455	1929	1814	2268	1496	201	585
ENSMUSG00000064288	2640	2498	2847	2039	397	936
ENSMUSG00000063021	3642	3118	3792	2844	749	1887
ENSMUSG00000095217	860	718	797	709	177	387
ENSMUSG00000058773	10378	9646	9692	7308	1424	3761
ENSMUSG00000101972	1721	1616	1723	1225	228	698
ENSMUSG00000069309	633	547	678	547	189	318
ENSMUSG00000069308	432	341	406	332	79	184
ENSMUSG00000069307	566	452	615	460	107	228
ENSMUSG00000094248	545	437	662	422	116	326
ENSMUSG00000069306	1340	1235	1498	963	174	473
ENSMUSG00000069305	682	562	732	488	85	206
ENSMUSG00000094777	141	107	145	107	30	62
ENSMUSG00000069303	271	230	364	226	41	111
ENSMUSG00000006720	319	283	285	296	61	169
ENSMUSG00000016982	17	22	17	5	4	10
ENSMUSG00000006179	86	81	86	89	23	45
ENSMUSG00000069302	922	780	1022	762	194	465
ENSMUSG00000062727	2663	2376	2685	2251	525	1213
ENSMUSG00000060639	1299	1205	1386	1275	183	531
ENSMUSG00000069301	659	579	692	526	142	285
ENSMUSG00000069300	3037	2619	3102	2412	422	1194
ENSMUSG00000046351	834	734	692	731	173	431
ENSMUSG00000036376	599	507	533	459	106	259
ENSMUSG00000000706	22	17	22	28	6	18
ENSMUSG00000053216	111	109	121	112	29	75
ENSMUSG00000060981	3554	3243	3733	2815	512	1235
ENSMUSG00000061991	659	521	587	554	164	440
ENSMUSG00000099517	2296	1958	2447	1921	434	997
ENSMUSG00000064168	861	777	863	987	176	479
ENSMUSG00000100210	2863	2625	3136	2723	525	1639
ENSMUSG00000069274	2247	1849	2242	1859	280	850
ENSMUSG00000052565	11455	10246	11806	9809	1865	5109
ENSMUSG00000069273	4789	4292	5318	4077	920	2621
ENSMUSG00000069272	873	782	840	716	104	402
