	DMSO.REP1	DMSO.REP2	DMSO.REP3	RA.REP1	RA.REP2	RA.REP3
ENSMUSG00000025993	80	68	55	84	19	75
ENSMUSG00000041144	15	17	11	27	5	14
ENSMUSG00000101337	12	15	7	19	7	12
ENSMUSG00000025986	2611	2448	2267	3007	790	1709
ENSMUSG00000026107	538	433	378	651	168	410
ENSMUSG00000018417	4009	3681	3155	3171	949	2342
ENSMUSG00000062939	201	185	162	390	101	286
ENSMUSG00000026104	311	271	261	314	63	197
ENSMUSG00000026103	1666	1496	1352	1738	590	1152
ENSMUSG00000002881	213	180	181	327	87	237
ENSMUSG00000043015	534	466	406	449	97	275
ENSMUSG00000041439	66	70	44	73	26	79
ENSMUSG00000026102	42	35	22	57	15	32
ENSMUSG00000041426	435	473	319	405	134	349
ENSMUSG00000043629	1109	1129	946	970	259	715
ENSMUSG00000060715	40	37	22	23	13	38
ENSMUSG00000026098	865	739	658	776	263	614
ENSMUSG00000026097	326	277	307	343	96	180
ENSMUSG00000026096	320	293	252	285	75	190
ENSMUSG00000026095	225	202	185	158	35	84
ENSMUSG00000096141	31	24	23	27	13	39
ENSMUSG00000026094	465	482	433	514	135	302
ENSMUSG00000042807	392	310	353	553	152	355
ENSMUSG00000025983	23	27	18	19	6	21
ENSMUSG00000041303	1687	1536	1426	1377	338	869
ENSMUSG00000073678	3198	3095	2714	3538	850	2374
ENSMUSG00000052331	128	127	76	894	202	761
ENSMUSG00000025982	17104	14749	14076	15824	4412	9358
ENSMUSG00000025981	309	290	281	312	77	173
ENSMUSG00000025980	6616	5685	5662	5961	1451	3392
ENSMUSG00000073676	1743	1573	1578	1703	288	743
ENSMUSG00000025979	857	765	716	907	259	525
ENSMUSG00000025978	66	55	57	22	9	13
ENSMUSG00000046994	802	679	612	733	202	480
ENSMUSG00000025977	33	36	34	35	16	36
ENSMUSG00000038331	458	454	307	431	172	597
ENSMUSG00000038323	346	319	301	251	83	189
ENSMUSG00000048495	288	266	262	295	80	171
ENSMUSG00000025971	426	378	353	395	100	240
ENSMUSG00000038305	499	446	404	104	26	84
ENSMUSG00000054770	663	641	540	559	141	335
ENSMUSG00000026039	1591	1385	1407	1229	397	752
ENSMUSG00000063558	185	218	124	104	25	112
ENSMUSG00000064294	1186	1224	969	653	155	530
ENSMUSG00000038242	32	22	22	20	9	21
ENSMUSG00000051223	6676	5852	5943	5106	1245	2671
ENSMUSG00000026034	4085	3889	3267	3533	835	2083
ENSMUSG00000026035	488	419	417	414	96	265
ENSMUSG00000026036	1029	867	846	912	198	615
ENSMUSG00000026037	2621	2336	2357	2502	620	1467
ENSMUSG00000038174	1094	1035	809	1321	341	870
ENSMUSG00000026032	355	340	343	313	89	172
ENSMUSG00000047528	27	17	26	17	4	8
ENSMUSG00000026031	168	136	124	150	47	120
ENSMUSG00000026029	95	61	74	72	13	44
ENSMUSG00000026028	1137	1162	954	1335	312	951
ENSMUSG00000026027	156	144	132	141	42	99
ENSMUSG00000038079	171	137	148	193	53	135
ENSMUSG00000079550	12	4	12	10	5	14
ENSMUSG00000026024	1479	1367	1277	1566	363	1200
ENSMUSG00000026023	2	1	5	65	8	61
ENSMUSG00000041075	723	629	570	2156	519	1525
ENSMUSG00000047361	72	58	39	111	23	90
ENSMUSG00000026021	1244	1072	1217	921	296	559
ENSMUSG00000026020	10576	9968	9292	10266	2486	6674
ENSMUSG00000067336	1218	1213	930	1527	489	1375
ENSMUSG00000041040	661	627	487	574	176	573
ENSMUSG00000026018	56	51	36	72	23	107
ENSMUSG00000026019	1619	1441	1281	1620	392	1095
ENSMUSG00000026017	261	225	216	262	68	194
ENSMUSG00000073664	3279	3209	2629	3687	1172	2906
ENSMUSG00000049439	521	542	474	462	93	271
ENSMUSG00000026782	1562	1502	1226	1576	458	1141
ENSMUSG00000026014	1658	1873	1204	1437	501	1749
ENSMUSG00000052062	19	20	21	46	8	39
ENSMUSG00000025969	449	440	401	776	211	629
ENSMUSG00000040865	4395	4508	3385	6826	1907	6996
